minimum,maximum,mean,standardDev,rms,zcf,variance,median,kurtosis,skewness,shanonEnt,class
-225,255,6.600927508,66.67723874,67.00318209,489,4446.939579,4,0.634424821,0.202805974,5.539192415,Healthy
-84,199,56.33024164,39.01706061,68.52318689,183,1522.702681,54,0.122060762,0.182109618,5.047021009,Healthy
-217,218,-27.61313156,54.97583247,61.5209492,409,3023.080033,-29,0.633730004,0.310209778,5.363060458,Healthy
-191,160,-15.72345619,45.47842838,48.11979346,452,2068.792401,-15,0.356346854,-0.100713478,5.193698243,Healthy
-211,194,-4.037588479,56.41955142,56.56383918,537,3183.942923,-5,0.316272328,-0.063710375,5.396903299,Healthy
-144,141,-6.12496949,39.81992667,40.28823415,535,1586.013676,-5,0.391876201,-0.058875137,5.060506955,Healthy
-188,32,-74.91139858,29.81002758,80.62478144,26,888.8546967,-75,0.073666352,0.051641584,4.78354382,Healthy
-191,79,-52.48889431,37.53633256,64.52953036,214,1409.32025,-53,0.364339568,0.131104452,5.004755283,Healthy
-297,183,-51.97608006,60.93579021,80.09171884,333,3714.077064,-53,0.754223021,0.116642898,5.455650336,Healthy
-240,292,5.496460825,67.65745284,67.88035066,482,4578.648486,4,0.17688328,0.065706098,5.568003683,Healthy
-133,150,2.432023432,36.72349272,36.80393533,550,1348.94417,2,0.226728729,-0.025362285,4.982168676,Healthy
-217,258,-18.55992189,63.18711155,65.8565241,466,3993.585825,-22,0.696982111,0.287632922,5.489481118,Healthy
-122,148,8.66268001,37.40186027,38.39194156,484,1399.24068,8,-0.022443194,0.070726709,5.003728816,Healthy
-246,116,-76.13448865,50.67846952,91.45910362,208,2568.934301,-76,-0.010510024,0.000452275,5.302213358,Healthy
-185,162,-3.804979253,47.43043202,47.58280939,650,2250.195112,-4,0.241967003,0.021618093,5.233732429,Healthy
-119,330,56.79448377,51.87498574,76.91961734,310,2691.671132,56,0.791078662,0.257642515,5.307513598,Healthy
-203,237,-3.962899683,59.78415402,59.91535401,646,3575.017666,-6,0.370005512,0.174485336,5.453657996,Healthy
-192,213,-5.245545521,56.96278472,57.20379875,636,3245.551021,-6,0.16115715,0.10071731,5.416123487,Healthy
-271,109,-76.10275812,53.93731556,93.27842088,266,2909.944272,-76,-0.10408107,0.062146595,5.356017802,Healthy
-215,201,-3.186477911,60.18575008,60.27004359,657,3623.20887,-3,0.026970282,0.055948804,5.468610132,Healthy
-315,220,-50.20136685,76.23994289,91.2836575,490,5813.947967,-50,0.287041055,0.066794656,5.682443023,Healthy
-257,287,5.623138882,76.71081231,76.9166329,716,5885.985382,6,0.283663386,-0.031308879,5.686724199,Healthy
-169,223,2.203319502,57.38642918,57.42871121,677,3294.006259,1,0.022849559,0.114851103,5.416357254,Healthy
-329,293,-28.06370515,82.09653434,86.76066215,587,6741.486419,-30,0.648488689,0.219350991,5.739745053,Healthy
-270,226,7.956553576,65.47428636,65.95596196,596,4287.928776,9,0.389722291,-0.090092497,5.537263657,Healthy
-205,292,-5.550158653,60.29997817,60.55486461,647,3636.975084,-5,0.502084862,0.086147987,5.455877831,Healthy
-289,287,-19.58603856,85.33883408,87.55757825,351,7284.49461,-19,0.155185293,0.110058495,5.793944163,Healthy
-265,130,-76.29411765,49.58948044,90.99400507,187,2459.71694,-77,0.288175163,-0.018787971,5.274530562,Healthy
-211,171,-4.358310959,46.43877606,46.64284293,657,2157.086426,-4,0.361206704,-0.090549624,5.212520622,Healthy
-264,248,6.309250671,75.45017637,75.71351107,631,5694.11894,6,0.056726806,-0.075096885,5.677084649,Healthy
-182,182,-5.328288992,50.88031358,51.15854741,636,2589.438343,-5,0.09258732,-0.040444554,5.298445278,Healthy
-250,114,-75.94117647,48.66204212,90.19454876,198,2368.572467,-75,0.264284735,-0.040351489,5.259096154,Healthy
-183,180,-4.240175738,48.35797699,48.54351686,669,2339.06486,-5,0.115770746,0.045062552,5.253760519,Healthy
-298,259,-50.25848182,67.00217897,83.75683244,466,4490.388005,-47,0.420423334,-0.171742977,5.553987365,Healthy
-287,252,5.903099829,71.28510471,71.52910415,656,5082.80677,6,0.111331644,-0.012524118,5.628438612,Healthy
-182,280,56.53819868,62.51771586,84.29135606,394,3909.419012,55,0.089722571,0.099165167,5.5002021,Healthy
-146,189,3.208201123,51.08709225,51.1877285,620,2610.528175,2,0.002566017,0.181432011,5.310127279,Healthy
-196,159,9.422016109,50.61590718,51.48538091,472,2562.595541,9,0.332852343,-0.14098091,5.298117895,Healthy
-309,313,-17.50256285,75.01022992,77.02515367,564,5627.908258,-22,0.549040405,0.217439158,5.660374745,Healthy
-222,214,7.612643398,57.38155179,57.8843228,623,3293.446354,7,0.448540515,-0.015687084,5.407370069,Healthy
-206,179,-5.768611179,54.48362932,54.78816239,681,2969.190587,-6,0.296514173,0.060798596,5.363535501,Healthy
-231,86,-76.11886746,44.32409736,88.08352622,158,1965.105252,-76,-0.047409856,-0.067188248,5.167456909,Healthy
-188,149,-3.676592629,42.96259814,43.1196263,705,1846.23547,-4,0.519906371,0.038552569,5.137791356,Healthy
-197,203,-3.470588235,53.01495524,53.12843364,689,2811.271657,-4,0.201980271,0.127646016,5.340821864,Healthy
-261,147,-50.07346839,60.7635833,78.73731829,435,3693.114474,-49,0.057824429,-0.097259396,5.476542799,Healthy
-236,246,6.122772761,64.7985392,65.08716485,650,4199.875792,6,0.222716225,0.026962951,5.530293508,Healthy
-256,229,-18.1120332,68.65683996,71.00568583,579,4714.912494,-22,0.381016637,0.285454616,5.573564731,Healthy
-190,228,8.687088113,51.86256233,52.58508221,625,2690.382043,9,0.230851386,0.022401691,5.31713651,Healthy
-237,213,11.17573835,63.52328763,64.4988775,404,4036.19323,12,0.15036601,-0.115128193,5.51659972,Healthy
-173,199,-5.089089578,47.84324355,48.11314567,738,2289.534786,-6,0.224633195,0.138593664,5.238596338,Healthy
-162,208,-1.579204296,48.58785577,48.61351268,582,2361.356091,0,0.137959437,0.038823616,5.254650053,Healthy
-214,193,-2.998291433,62.11483415,62.18715601,556,3859.194577,-2,-0.092553225,-0.087985531,5.50123376,Healthy
-189,244,9.191847693,66.42237906,67.05536894,571,4413.009572,10,-0.005185095,0.049315422,5.555721327,Healthy
-383,326,-51.66121552,107.5366848,119.3022203,486,11566.96186,-52,-0.296260362,0.012238628,6.008884213,Healthy
-262,297,6.449353185,98.75658957,98.96695479,545,9755.245054,8,-0.540304976,-0.057125654,5.93364151,Healthy
-242,206,-52.19672931,57.5226021,77.67463102,376,3309.657577,-51,0.310658797,0.124349665,5.411340657,Healthy
-166,147,-5.071271662,49.47586939,49.73509273,575,2448.459275,-3,-0.005335548,-0.108451781,5.277874942,Healthy
-100,260,56.22406639,46.97695026,73.26649642,257,2207.372634,55,0.298078707,0.168296847,5.222531944,Healthy
-226,182,-29.14303149,59.30661133,66.08018184,494,3518.132857,-30,0.109070767,0.048286065,5.451517685,Healthy
-1765,1027,47.10007322,478.484847,480.7974269,321,229003.6443,187,1.492517463,-1.34775823,7.032337398,Seizure
-1816,1364,37.57188186,505.0609296,506.4565025,472,255148.8196,116,0.270036028,-0.674033914,7.248203517,Seizure
-1283,1435,30.49353185,374.0771719,375.3179799,445,139967.8941,83,0.740108661,-0.468130248,6.979555788,Seizure
-399,467,7.087136929,159.8330743,159.990122,348,25552.84861,10,-0.691801022,0.046879961,6.355392229,Seizure
-1026,727,12.87039297,332.4554179,332.7044513,270,110553.5889,83,-0.703073004,-0.472756613,6.917933959,Seizure
-451,352,-5.800829876,126.2200827,126.3533098,346,15935.3988,-16,-0.300227428,0.243697804,6.133261767,Seizure
-1430,1129,9.450085428,248.4818292,248.6614637,248,61758.29347,39,2.989885685,-0.705822321,6.568399322,Seizure
-885,820,-50.36490115,404.8966069,408.0170162,310,163981.287,-85,-0.836327611,0.260539819,7.086686304,Seizure
-800,1219,-33.47156456,332.262156,333.9438365,316,110425.093,-112,0.211878918,0.823935797,6.896022131,Seizure
-1885,1565,-17.42006346,547.487934,547.7650011,563,299816.2173,58,0.881461947,-0.7589579,7.226459106,Seizure
-895,1793,-7.872345619,362.024437,362.1100203,415,131093.6905,-90,2.382971755,1.449656597,6.842993301,Seizure
-912,1381,3.958018062,481.1300238,481.1463038,255,231542.6149,-185,-0.592813221,0.75177022,7.081618154,Seizure
-1523,1405,-21.5508909,540.2457178,540.6753892,313,291936.6918,-114,-0.411622454,0.180865666,7.214026056,Seizure
-696,351,-59.40444227,140.2717409,152.3320356,291,19680.96505,-38,1.469336688,-0.88785374,6.163380392,Seizure
-590,591,-5.672687332,213.5402346,213.6155687,243,45610.56447,-22,-0.576695668,0.288863826,6.564621957,Seizure
-248,462,-11.38760068,105.2214194,105.8358378,185,11074.25012,-34,1.523994033,1.187279806,5.830933491,Seizure
-1853,1308,28.47888699,591.5538188,592.2389446,491,350021.3541,124,0.239906064,-0.73815502,7.341725305,Seizure
-385,640,-5.652672687,147.793448,147.9015077,235,21848.23602,5,0.786241127,0.242674942,6.199578446,Seizure
-1227,1445,6.17207713,452.96756,453.009608,252,205229.703,-100,-0.000797218,0.506536497,7.103768087,Seizure
-429,555,-15.00781059,193.1754314,193.7575333,374,37325.85785,-30,-0.128916841,0.454594969,6.486536272,Seizure
-254,430,-4.408835733,123.9102916,123.9887019,281,15357.50884,-37,0.783419752,1.103766207,5.982847665,Seizure
-773,607,-40.77178423,191.328754,195.6247186,392,36615.6293,11,0.864855245,-0.995677573,6.36602871,Seizure
-840,639,-15.36026361,214.3411554,214.8908295,355,45953.34723,45,0.283547533,-0.925049498,6.48558596,Seizure
-951,1018,-33.11911155,293.4278053,295.2909624,403,86120.89743,-28,-0.02236089,-0.049577179,6.871137419,Seizure
-1453,642,-2.402489627,363.1880746,363.1960208,258,131937.7811,51,0.232537414,-0.755748054,6.945358621,Seizure
-572,613,2.630705394,222.6463829,222.6619241,325,49583.51422,-13,-0.707852577,0.192447289,6.651795508,Seizure
-1868,1420,-11.2548206,535.7867842,535.9049814,523,287137.563,95,0.293489479,-0.79670086,7.247210783,Seizure
-1032,1629,13.61825726,477.4092179,477.6034111,271,227975.2058,-82,-0.451679836,0.533908868,7.197645289,Seizure
-750,741,-62.47815475,182.4748091,192.8745079,260,33305.18513,-65,0.588177792,0.240083866,6.427098238,Seizure
-1542,1460,28.67171101,467.1163569,467.9954678,409,218250.9618,18,0.666876391,-0.009611639,7.163701291,Seizure
-525,584,-54.37759336,281.2683123,286.476502,289,79131.17795,-160,-1.042537357,0.554282034,6.650814186,Seizure
-273,398,-53.46375397,106.4089046,119.0849611,230,11325.61935,-65,1.662227833,1.107439663,5.849138105,Seizure
-1135,570,-18.52013669,351.0099451,351.4981893,244,123238.0617,89,-0.443738402,-0.753019486,6.87199452,Seizure
-854,1624,6.992433488,379.0096626,379.0741596,458,143683.3947,-57,1.446260491,1.091889428,6.982394513,Seizure
-1664,1408,36.89748597,526.5894537,527.880552,594,277364.1521,110,-0.323278973,-0.44806473,7.299623284,Seizure
-494,632,10.47498169,188.4307339,188.7216647,292,35514.80998,26,-0.28615349,-0.024357121,6.505004656,Seizure
-1872,1346,-5.442762997,590.9616136,590.986677,364,349320.8913,176,1.240710782,-1.256881097,7.182805635,Seizure
-527,776,2.512326092,168.962402,168.981079,258,28555.26309,-8,1.858504027,0.832144335,6.33005015,Seizure
-239,253,-7.891139858,106.1540361,106.4469327,342,11271.43053,-29,-0.987311889,0.303488764,5.92104624,Seizure
-516,584,-15.07322431,200.0418311,200.6089138,219,40026.50391,-38,-0.687957117,0.374874256,6.505199536,Seizure
-1529,1158,-5.947034415,433.8496604,433.8904182,306,188271.4813,104,-0.254785023,-0.647589778,7.099571134,Seizure
-843,683,-4.376617037,328.647977,328.6771175,347,108035.8623,78,-0.459744704,-0.617920808,6.880124904,Seizure
-389,362,-13.02587259,109.6832696,110.4540311,361,12033.35675,-8,-0.129009831,-0.147063561,6.026233714,Seizure
-890,1367,56.17622651,384.8540327,388.9323783,320,148148.7868,-11,-0.215372249,0.573022175,7.051110456,Seizure
-519,730,20.6460825,192.9032614,194.0049715,159,37220.75313,-26,0.448256323,0.883422753,6.395884271,Seizure
-849,919,-36.17280937,279.388854,281.7207906,265,78077.18888,-98,0.508582415,0.767106808,6.726471016,Seizure
-1872,1469,-9.679521601,593.7607368,593.8396296,479,352637.8848,140,1.198094412,-1.157531704,7.216804382,Seizure
-580,860,-4.022455455,247.0651961,247.0979386,309,61056.11375,-63,0.365904181,0.87241967,6.64228746,Seizure
-1863,1482,-16.37173542,494.8727207,495.1434574,428,244958.7995,31,1.005861513,-0.735544813,7.19013448,Seizure
-645,769,-31.1376617,269.8916137,271.6818674,303,72859.26669,-108,-0.157331782,0.698109135,6.71743742,Seizure
-724,314,-3.424945082,130.2674547,130.3124706,318,16973.75273,13,2.698213821,-1.222263473,6.028299516,Seizure
-1061,1088,-2.8159629,251.1231346,251.1389224,543,63078.22491,5,0.735681764,-0.110248954,6.718859792,Seizure
-1066,980,-9.378813766,230.8450713,231.0355148,234,53302.45705,-2,0.924690431,0.11436533,6.614922293,Seizure
-609,622,20.37124725,251.345406,252.1695875,433,63189.9366,49,-0.254537834,-0.236967496,6.684666019,Seizure
-461,439,6.621186234,144.3874355,144.5391699,327,20852.82131,19,-0.288867038,-0.299522994,6.275913591,Seizure
-298,873,-5.43153527,160.1762431,160.2683076,237,25662.69264,-39,6.798256617,2.26767911,6.003672011,Seizure
-733,506,-3.560165975,271.1481106,271.171482,358,73539.24742,84,-0.644482448,-0.66161471,6.698505148,Seizure
-717,1236,16.2870393,310.5808641,311.0076217,296,96484.02306,-67,0.757530452,1.010728652,6.803883886,Seizure
-1649,2047,3.377105199,612.5505062,612.5598154,267,375309.7286,-116,-0.42349149,0.448309936,7.373161605,Seizure
-1869,950,-8.12252868,493.5849448,493.6517732,213,243685.5768,153,2.567446632,-1.580058302,6.980640454,Seizure
-658,721,-38.00292897,250.7933918,253.656358,558,62912.68114,-69,-0.430957754,0.292214663,6.722742269,Seizure
-1057,967,-15.13888211,292.7562954,293.1474616,319,85727.17285,-69,0.024145197,0.489575885,6.830351724,Seizure
-423,524,-28.58310959,125.4656603,128.6803251,371,15745.47509,-16,0.611972305,-0.017998242,6.12077989,Seizure
-579,370,35.76909934,133.1319755,137.8533691,340,17728.45009,51,1.425397161,-0.925147581,6.120246029,Seizure
-738,2047,-11.2123505,377.5422508,377.7087078,215,142572.9505,-130,5.223518238,1.745766801,6.839807315,Seizure
-906,734,-10.59360508,283.809695,284.0073369,321,80567.608,23,-0.546767172,-0.34828773,6.83088277,Seizure
-1829,1068,42.42543324,489.5385092,491.3734521,325,239706.4598,141,0.561616442,-0.920354885,7.186142085,Seizure
-1867,1556,-10.08469612,556.6655271,556.7568681,413,309952.1625,84,1.240499388,-1.043538411,7.230239926,Seizure
-899,1023,-21.95411277,233.2167648,234.2478228,235,54403.33823,-23,0.782547091,0.269769309,6.645357092,Seizure
-531,524,-67.33414694,187.5380892,199.2596855,299,35179.12147,-98,-0.47344179,0.42562191,6.46772641,Seizure
-395,586,21.68025384,150.3565067,151.9115286,267,22612.59842,15,0.363028848,0.386798543,6.287771512,Seizure
-609,683,-0.522089334,253.3707427,253.3712806,315,64212.40631,-60,-0.998136993,0.362776884,6.634546318,Seizure
-837,1349,57.41933122,323.8115815,328.8630717,316,104879.5395,-5,0.817657356,0.852691704,6.883641949,Seizure
-384,287,-48.44471565,109.6259597,119.8529996,236,12020.78509,-31,-0.225892324,-0.398195215,5.960824123,Seizure
-583,486,-33.09445936,198.6262992,201.3644705,302,39462.03868,-11,-0.516826186,-0.203954559,6.538400058,Seizure
-1867,1762,-14.27239443,493.0387502,493.2452842,428,243146.5566,96,1.031072705,-0.868456762,7.122289626,Seizure
-599,243,-33.90651696,113.5221962,118.4775968,357,12890.43535,-21,1.519275267,-0.876665947,5.984516351,Seizure
-455,399,-18.64657066,128.4270475,129.7736534,356,16497.53326,4,0.710927524,-0.589169438,6.090160761,Seizure
-1428,1502,1.064681474,512.9813522,512.982457,301,263214.1132,-85,-0.050351793,0.313336574,7.187004594,Seizure
-1107,1050,-14.87551867,518.9618504,519.1750025,292,269387.1544,78,-0.964628305,-0.259295477,7.259114428,Seizure
-1841,1088,45.11081279,452.9977307,455.2383216,280,205257.0434,153,0.810270278,-1.066650875,7.093338483,Seizure
-1117,1214,-3.600195265,398.5725975,398.588857,321,158898.8997,-57,-0.429202255,0.250554473,7.097883655,Seizure
-454,253,-52.66951428,95.51183818,109.0714856,509,9124.738409,-36,0.147396654,-0.544191658,5.852193556,Seizure
-461,513,-10.7503051,139.822585,140.2352464,188,19555.12831,27,0.852761042,-0.606176696,6.014647798,Seizure
-1740,1000,44.73395167,446.7597622,448.9937767,418,199643.0142,175,1.742727433,-1.382500908,6.989592303,Seizure
-589,624,-5.603368318,177.299928,177.38845,506,31442.93908,-11,0.512616457,0.048988026,6.43001947,Seizure
-1248,648,25.53502563,374.6365917,375.50581,232,140386.8416,140,-0.101420029,-0.864776563,6.937441435,Seizure
-520,420,-16.20576031,184.9855449,185.6940454,295,34228.00624,21,-0.592926447,-0.420785616,6.453708621,Seizure
-565,784,47.55748108,188.7956478,194.6933759,215,35652.49871,40,-0.236678393,0.277692872,6.469714788,Seizure
-1102,1033,-39.73785697,272.9522934,275.8297514,606,74521.14367,-37,0.605994462,-0.006265354,6.801312762,Seizure
-1524,1565,-12.17622651,415.4053229,415.5837374,313,172603.7116,42,-0.004488062,-0.382352474,7.125393487,Seizure
-824,951,-22.69001709,264.4417132,265.4133692,365,69946.49227,-61,0.078943902,0.522063913,6.773388486,Seizure
-1839,1059,43.27141811,494.2070387,496.0977854,250,244300.2261,210,1.433640716,-1.378013414,7.008187086,Seizure
-792,595,-8.051501098,299.2924877,299.400768,352,89597.86234,79,-0.459053909,-0.66938736,6.795680946,Seizure
-538,585,25.63216988,225.6541094,227.1052294,458,50932.20866,29,-0.494433594,-0.102063764,6.643772716,Seizure
-441,348,-44.60117159,108.5268074,117.3342765,310,11780.94344,-47,0.378904594,0.15216413,6.002882572,Seizure
-1341,999,-6.579692458,552.7278187,552.7669798,289,305582.6285,115,-0.866190473,-0.483042435,7.296985275,Seizure
-735,568,2.03539175,293.4690918,293.4761501,343,86145.13425,70,-0.62331513,-0.51897943,6.812850109,Seizure
-838,1555,22.10178179,380.1966298,380.8385039,354,144584.7677,-94,1.361858194,1.359333283,6.813344569,Seizure
-833,1058,3.282157676,259.2562925,259.2770675,325,67230.23482,-21,-0.281298085,0.216552384,6.77115297,Seizure
